X,Y,FID,LEAAUNumbe,LEAInstNam,LEACategor,LEAIUNumbe,LEAIU,LEACountyN,LEAStatus,LEAStatusE,LEAWebAddr,LEAMailing,LEAMaili_1,LEAMaili_2,LEAMaili_3,LEAMaili_4,LEAMaili_5,LEALocatio,LEALocat_1,LEALocat_2,LEALocat_3,LEALocat_4,LEALocat_5,LEAPhoneNu,LEAPhone_1,LEAAdminTi,LEAAdminSa,LEAAdminFi,LEAAdminMi,LEAAdminLa,LEAAdminSu,LEAAdminPh,LEAAdmin_1,SchoolInst,SchoolAUNN,SchoolBran,SchoolName,GradeYear,GradeList,GradeCtgy,K4_Half,K4_Full,K5_Half,K5_Full,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Elementary,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Secondary_,SchoolCoun,SchoolStat,SchoolSt_1,SchoolWebA,SchoolPhon,SchoolPh_1,SchoolMail,SchoolMa_1,SchoolMa_2,SchoolMa_3,SchoolMa_4,SchoolMa_5,SchoolLoca,SchoolLo_1,SchoolLo_2,SchoolLo_3,SchoolLo_4,SchoolLo_5,SchoolAdmi,SchoolAd_1,SchoolAd_2,SchoolAd_3,SchoolAd_4,SchoolAd_5,CyberSchoo
-80.0421248732338,40.3337249230103,18,103021252,Bethel Park SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.bpsd.org/,301 Church Rd, ,Bethel Park,PA,15102,1696,301 Church Rd, ,Bethel Park,PA,15102,1696,(412)833-5000, ,Superintendent,Dr,Joseph,W,Pasquerilla, ,(412)854-8402,0,Regular School,103021252,62,Bethel Park HS,2017-2018,9-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Allegheny,Open,1997/07/08 00:00:00+00,http://www.bpsd.org,(412)854-8581, ,309 Church Rd, ,Bethel Park,PA,15102,1695,309 Church Rd, ,Bethel Park,PA,15102,1695,Principal,Dr,Zeb, ,Jansante, , 
-80.0179417847125,40.3542555189184,19,103021252,Bethel Park SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.bpsd.org/,301 Church Rd, ,Bethel Park,PA,15102,1696,301 Church Rd, ,Bethel Park,PA,15102,1696,(412)833-5000, ,Superintendent,Dr,Joseph,W,Pasquerilla, ,(412)854-8402,0,Regular School,103021252,4802,Abraham Lincoln El Sch,2017-2018,"K5H,1-4",ELEMENTARY,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1998/07/13 00:00:00+00,http://www.bpsd.org,(412)854-8618, ,1524 Hamilton Rd, ,Pittsburgh,PA,15234,2099,1524 Hamilton Rd, ,Pittsburgh,PA,15234,2099,Principal,Mr,Jay, ,Johnson, , 
-80.0625846398368,40.3126276872549,20,103021252,Bethel Park SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.bpsd.org/,301 Church Rd, ,Bethel Park,PA,15102,1696,301 Church Rd, ,Bethel Park,PA,15102,1696,(412)833-5000, ,Superintendent,Dr,Joseph,W,Pasquerilla, ,(412)854-8402,0,Regular School,103021252,4902,George Washington El Sch,2017-2018,"K5H,1-4",ELEMENTARY,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1997/07/08 00:00:00+00,http://www.bpsd.org,(412)854-8546, ,515 Clifton Rd, ,Bethel Park,PA,15102,1341,515 Clifton Rd, ,Bethel Park,PA,15102,1341,Principal,Mr,Fred,T,Pearson, , 
-80.0323404123794,40.3247403991863,21,103021252,Bethel Park SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.bpsd.org/,301 Church Rd, ,Bethel Park,PA,15102,1696,301 Church Rd, ,Bethel Park,PA,15102,1696,(412)833-5000, ,Superintendent,Dr,Joseph,W,Pasquerilla, ,(412)854-8402,0,Regular School,103021252,7326,Benjamin Franklin El Sch,2017-2018,"K5H,1-4",ELEMENTARY,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2000/07/12 00:00:00+00,http://www.bpsd.org,(412)854-8741, ,5400 Florida Ave, ,Bethel Park,PA,15102,3813,5400 Florida Ave, ,Bethel Park,PA,15102,3813,Principal,Mrs,Teresa, ,Ader-Doumont, , 
-80.0218147399059,40.3061073323145,22,103021252,Bethel Park SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.bpsd.org/,301 Church Rd, ,Bethel Park,PA,15102,1696,301 Church Rd, ,Bethel Park,PA,15102,1696,(412)833-5000, ,Superintendent,Dr,Joseph,W,Pasquerilla, ,(412)854-8402,0,Regular School,103021252,7327,Neil Armstrong 5-6 MS,2017-2018,5-6,ELEMENTARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2000/07/12 00:00:00+00,http://www.bpsd.org,(412)854-8751, ,5800 Murray Ave, ,Bethel Park,PA,15102,3448,5800 Murray Ave, ,Bethel Park,PA,15102,3448,Principal,Mr,Kenneth, ,Patterson, , 
-79.974288769725,40.3687832588272,23,103021453,Brentwood Borough SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.bb-sd.com,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,(412)881-2227, ,Superintendent of Schools,Dr,Amy,M,Burch, ,(412)881-2227,2401,Regular School,103021453,68,Moore Sch,2017-2018,K5F-5,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1993/07/12 00:00:00+00,http://www.bb-sd.com,(412)881-7776, ,3809 Dalewood St, ,Pittsburgh,PA,15227,3509,3809 Dalewood St, ,Pittsburgh,PA,15227,3509,Principal,Mrs,Bonnie, ,Betler, , 
-79.9731972654508,40.3794356259178,24,103021453,Brentwood Borough SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.bb-sd.com,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,(412)881-2227, ,Superintendent of Schools,Dr,Amy,M,Burch, ,(412)881-2227,2401,Regular School,103021453,69,Elroy Avenue El Sch,2017-2018,K5F-5,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1993/07/12 00:00:00+00,http://www.bb-sd.com,(412)881-4484, ,3129 Elroy Ave, ,Pittsburgh,PA,15227,2824,3129 Elroy Ave, ,Pittsburgh,PA,15227,2824,Principal,Mrs,Barbara,A,Pagan, , 
-79.9741094821639,40.3743597886631,25,103021453,Brentwood Borough SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.bb-sd.com,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,(412)881-2227, ,Superintendent of Schools,Dr,Amy,M,Burch, ,(412)881-2227,2401,Regular School,103021453,70,Brentwood SHS,2017-2018,9-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Allegheny,Open,1998/02/09 00:00:00+00,http://www.bb-sd.com,(412)881-4940, ,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,Principal,Mr,Jason,T,Olexa, , 
-79.9741094821639,40.3743597886631,26,103021453,Brentwood Borough SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.bb-sd.com,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,(412)881-2227, ,Superintendent of Schools,Dr,Amy,M,Burch, ,(412)881-2227,2401,Regular School,103021453,7342,Brentwood MS,2017-2018,"6,7-8",ELEMENTARY/SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1998/02/09 00:00:00+00,http://www.bb-sd.com,(412)881-4940, ,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,3601 Brownsville Rd, ,Pittsburgh,PA,15227,3117,Principal,Mr,David,B,Radcliffe, , 
-80.0820568695834,40.4015049530854,27,103021603,Carlynton SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.carlynton.k12.pa.us,435 Kings Hwy, ,Carnegie,PA,15106,1043,435 Kings Hwy, ,Carnegie,PA,15106,1043,(412)429-2500,1102,Superintendent,Dr,Gary, ,Peiffer, ,(412)429-2500,1101,Regular School,103021603,77,Carnegie El Sch,2017-2018,K5F-6,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1999/05/05 00:00:00+00, ,(412)429-2500,3336,301 Franklin Ave, ,Carnegie,PA,15106,3031,301 Franklin Ave, ,Carnegie,PA,15106,3031,Principal,Mrs,Carla, ,Hudson, , 
-80.0671628084609,40.4311175717907,28,103021603,Carlynton SD,School District,3,Allegheny IU 3,Allegheny,Open,1999/06/08 00:00:00+00,http://www.carlynton.k12.pa.us,435 Kings Hwy, ,Carnegie,PA,15106,1043,435 Kings Hwy, ,Carnegie,PA,15106,1043,(412)429-2500,1102,Superintendent,Dr,Gary, ,Peiffer, ,(412)429-2500,1101,Regular School,103021603,78,Crafton El Sch,2017-2018,K5F-6,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1998/07/06 00:00:00+00, ,(412)429-2500,4301,1874 Crafton Blvd, ,Pittsburgh,PA,15205,3104,1874 Crafton Blvd, ,Pittsburgh,PA,15205,3104,Principal,Mrs,Marsha, ,Burleson, , 
